numero,nombre,categoria,numeroE,temporadas,estrellas,recomendador,sinopsis
1,One Piece,Shonen-Jump,Mas de 100,1,7,Luzi,"One Piece es la historia de un chico llamado Monkey D. Luffy, quién se inspiró en Shanks, un pirata que le salvó la vida, para convertirse en el Rey de los Piratas. Al comienzo de la serie, veinticuatro años antes de la historia actual, un pirata llamado Gol D. Roger, conocido como el Rey de los Piratas, fue ejecutado, pero antes de su muerte, le dijo a la multitud de su tesoro, el One Piece. Sus palabras desataron lo que sería conocida como «la Gran Era de la Piratería», innumerables piratas se dispusieron a buscar el tesoro causando grandes problemas al Gobierno Mundial. Monkey D. Luffy se convierte en uno de ellos, deseando ser el próximo Rey de los Piratas y se dispone a reunir compañeros de tripulación y comenzar sus aventuras."
2,Death Note,Misterio,menos de 50,1,6,Luzi,"Light Yagami es un brillante estudiante japonés, aburrido y asqueado por la inmundicia de crímenes que cubre el mundo. Su vida cambiará por completo cuando se tope con un Death Note, un cuaderno que puede hacer que una persona muera tan sólo escribiendo su nombre y visualizando su rostro. Si no se especifica la causa de la muerte de la persona, ésta moriría de un ataque al corazón en 40 segundos. Los Death Note son instrumentos de shinigami, y el que se encontró Light era propiedad de uno llamado Ryuk, el cual dejó caer el cuaderno “por accidente”, según él, pero lo cierto es que se encontraba tan aburrido como Light. Cuando comprueba por sí mismo lo que el Death Note puede hacer, Light decide limpiar el mundo de criminales usándolo, convirtiéndose en motivo de polémica entre las fuerzas del orden y el pueblo y de interés en un misterioso detective privado que se hace llamar L, al que las acciones de Light (conocido entre la policía y la gente como “Kira”, que suena igual que Killer, asesino) llaman la atención enseguida…"
